state_name,state_abbr,year,poverty_rate,unempl_rate,gsp,min_wage,snap_rate,medicaid_rate,aca_exp,gov_dem
Alabama,AL,1999,15.2,4.7,115833.1,5.15,0.09274274565192218,0.11808404933611176,0.0,1
Alaska,AK,1999,7.6,6.5,24779.3,5.65,0.06660532687651331,0.1196045197740113,0.0,1
Arizona,AZ,1999,12.2,4.4,155282.6,5.15,0.05386021733106867,0.09537282047375528,0.0,0
Arkansas,AR,1999,14.7,4.6,66791.2,5.15,0.09914544051379394,0.14875049630140322,0.0,0
California,CA,1999,14.0,5.2,1247734.4,5.75,0.06115799064363048,0.1527555744931509,0.0,1
Colorado,CO,1999,8.5,3.1,164132.0,5.15,0.04277399187847144,0.06350013670656263,0.0,0
Connecticut,CT,1999,7.2,2.9,152353.9,5.65,0.05428589796988511,0.10637650893608257,0.0,0
Delaware,DE,1999,10.4,3.4,40427.3,5.65,0.05118653604728627,0.11993821147705888,0.0,1
District of Columbia,DC,1999,14.7,6.4,58751.3,6.15,0.1620077071290944,0.2395664739884393,0.0,.
Florida,FL,1999,12.4,3.9,456797.9,5.15,0.061770890603050285,0.10351431027121262,0.0,0
Georgia,GA,1999,12.8,3.9,289446.6,3.25,0.07917064702679938,0.11948514683676928,0.0,1
Hawaii,HI,1999,10.8,5.4,39246.9,5.25,0.10557175598082492,0.14004843538195372,0.0,1
Idaho,ID,1999,14.1,4.9,34252.3,5.65,0.04569864983622274,0.07353838779260206,0.0,0
Illinois,IL,1999,9.9,4.4,460242.3,5.15,0.06761287790527498,0.11227048647097673,0.0,0
Indiana,IN,1999,6.7,3.0,192765.5,5.15,0.05017970179883528,0.09126620147298432,0.0,1
Iowa,IA,1999,7.4,2.6,87796.0,5.15,0.044883744514993135,0.07888407838118806,0.0,1
Kansas,KS,1999,12.3,3.3,81669.8,2.65,0.04328287463847732,0.0704722439500055,0.0,0
Kentucky,KY,1999,12.1,4.5,114994.2,5.15,0.1000902589738249,0.13161298466859808,0.0,1
Louisiana,LA,1999,19.2,5.1,125894.7,5.15,0.11808802994486549,0.14187466477281174,0.0,0
Maine,ME,1999,10.6,4.0,34379.1,5.15,0.08678813126476409,0.12946992913235011,0.0,0
Maryland,MD,1999,7.3,3.6,180191.2,5.15,0.0511236874071135,0.09845031570292871,0.0,1
Massachusetts,MA,1999,11.8,3.2,265143.2,5.25,0.042269450439332105,0.14575325792703,0.0,0
Michigan,MI,1999,9.7,3.7,337834.5,5.15,0.06921082445615395,0.1086790807778969,0.0,0
Minnesota,MN,1999,7.3,2.8,175155.9,5.15,0.04356855857010396,0.0955988347208297,0.0,0
Mississippi,MS,1999,16.2,5.1,63818.9,5.15,0.10404356829162842,0.1563548469471603,0.0,0
Missouri,MO,1999,11.7,3.3,177747.5,5.15,0.07467186556500348,0.13272039877564262,0.0,1
Montana,MT,1999,15.8,5.3,20821.0,5.15,0.06898442305492088,0.07700568318911075,0.0,0
Nebraska,NE,1999,11.0,2.8,53704.7,5.15,0.055463653672087145,0.10697719366061074,0.0,0
Nevada,NV,1999,11.3,4.0,71444.7,5.15,0.034087548839217066,0.05459490740101025,0.0,0
New Hampshire,NH,1999,7.6,2.7,41873.3,5.15,0.031168878742921274,0.0694335519600644,0.0,1
New Jersey,NJ,1999,7.8,4.5,336470.9,5.15,0.04726372680149304,0.08332711153506663,0.0,0
New Mexico,NM,1999,20.9,5.6,53082.3,4.25,0.10256034449065549,0.16627122891477628,0.0,0
New York,NY,1999,14.2,5.2,792569.0,4.25,0.08467427515721206,0.15218809271028144,0.0,0
North Carolina,NC,1999,13.8,3.2,264836.2,5.15,0.06605985343472419,0.11975836740498268,0.0,1
North Dakota,ND,1999,13.1,3.3,17017.3,5.15,0.05277543690209038,0.07111948565963773,0.0,0
Ohio,OH,1999,12.0,4.3,375814.4,4.25,0.056836249919381014,0.09430715379543513,0.0,0
Oklahoma,OK,1999,12.8,3.5,84089.8,5.15,0.08080626698161192,0.11808004898089483,0.0,0
Oregon,OR,1999,12.6,5.5,107564.3,6.5,0.06754149535878008,0.11614116835346006,0.0,1
Pennsylvania,PA,1999,9.3,4.4,390499.0,5.15,0.0696095452932529,0.11877456224837453,0.0,0
Rhode Island,RI,1999,10.0,4.2,32284.0,5.65,0.07710187228948981,0.1404161607720482,0.0,0
South Carolina,SC,1999,11.7,4.3,110095.7,5.15,0.0794109532917316,0.16030579534996717,0.0,1
South Dakota,SD,1999,7.7,2.7,21045.5,5.15,0.060105055972108745,0.09699740701891744,0.0,0
Tennessee,TN,1999,11.9,4.0,176083.2,5.15,0.09315669545284201,0.24597654615134215,0.0,0
Texas,TX,1999,15.2,4.7,680181.9,3.35,0.06987208880639983,0.09436173892410755,0.0,0
Utah,UT,1999,5.7,3.5,66038.5,5.15,0.041394266976424475,0.06177658749312154,0.0,0
Vermont,VT,1999,9.6,3.0,17161.8,5.75,0.07458988782968977,0.1940394785596389,0.0,1
Virginia,VA,1999,7.9,2.7,249106.3,5.15,0.05260957800710965,0.0779557485968102,0.0,0
Washington,WA,1999,9.6,4.9,230237.4,5.7,0.05327219748726669,0.12026869058420762,0.0,1
West Virginia,WV,1999,15.7,6.5,41796.4,5.15,0.1368338970894247,0.14775962296228737,0.0,0
Wisconsin,WI,1999,8.6,3.1,172328.7,5.15,0.03470295666311014,0.0784464786420049,0.0,0
Wyoming,WY,1999,11.6,4.6,15715.0,1.6,0.04895100520848537,0.07436791339485657,0.0,0
Alabama,AL,2000,13.3,4.6,120132.9,5.15,0.08895813347774222,0.12688770180314196,0.0,1
Alaska,AK,2000,7.6,6.4,26815.8,5.65,0.05975511296047697,0.13242977691360797,0.0,1
Arizona,AZ,2000,11.7,4.0,164609.9,5.15,0.050189261452090905,0.09378644208235266,0.0,0
Arkansas,AR,2000,16.5,4.3,68740.4,5.15,0.09205297716558127,0.14635248123264943,0.0,0
California,CA,2000,12.7,4.9,1366166.5,6.25,0.053892527937158485,0.18149994628983065,0.0,1
Colorado,CO,2000,9.8,2.8,180693.3,5.15,0.036041332855395326,0.06447286650253148,0.0,0
Connecticut,CT,2000,7.7,2.4,165822.4,6.15,0.04837918773706488,0.10371574695532562,0.0,0
Delaware,DE,2000,8.4,3.7,43515.9,6.15,0.04097037919664078,0.12413701894647959,0.0,1
District of Columbia,DC,2000,15.2,5.6,61033.2,6.15,0.14125262653702675,0.22249784108271012,0.0,.
Florida,FL,2000,11.0,3.7,488466.1,5.15,0.05498303008285083,0.10700423087312895,0.0,0
Georgia,GA,2000,12.1,3.6,306019.9,3.25,0.06800138514407456,0.10775608969306223,0.0,1
Hawaii,HI,2000,8.9,4.2,41519.9,5.25,0.09727165376067454,0.12559341880926464,0.0,1
Idaho,ID,2000,12.5,4.7,38130.6,6.15,0.04478194285186582,0.08798550133520082,0.0,0
Illinois,IL,2000,10.7,4.3,486766.2,5.15,0.06115989651412749,0.11476962538928039,0.0,0
Indiana,IN,2000,8.5,3.1,203356.8,5.15,0.049297538718021706,0.09900546072418533,0.0,1
Iowa,IA,2000,8.3,2.6,93189.8,5.15,0.042102826599732954,0.07823719976361074,0.0,1
Kansas,KS,2000,8.0,3.6,85820.7,2.65,0.04325345131810337,0.07236231758697485,0.0,0
Kentucky,KY,2000,12.6,4.2,114099.1,5.15,0.09964853232423344,0.14116128318425614,0.0,1
Louisiana,LA,2000,17.2,5.3,132709.5,5.15,0.11177635381947434,0.1477759378874904,0.0,0
Maine,ME,2000,10.1,3.4,36840.9,5.15,0.07955542052444968,0.1300780222258416,0.0,0
Maryland,MD,2000,7.4,3.6,192019.8,5.15,0.041268800011447865,0.10345518405643797,0.0,1
Massachusetts,MA,2000,9.8,2.7,289653.4,6.0,0.036444774366210644,0.14544346390186358,0.0,0
Michigan,MI,2000,9.9,3.6,351641.3,5.15,0.060573728077006166,0.10711452958819186,0.0,0
Minnesota,MN,2000,5.7,3.2,190894.1,5.15,0.03973697587932121,0.09415545194146696,0.0,0
Mississippi,MS,2000,14.9,5.4,65600.1,5.15,0.09684754663484477,0.16828251273630762,0.0,1
Missouri,MO,2000,9.2,3.6,186785.2,5.15,0.07549464669621751,0.1409466435182089,0.0,1
Montana,MT,2000,14.1,5.0,21878.4,5.15,0.06579749561007023,0.07752278503562288,0.0,0
Nebraska,NE,2000,8.6,2.8,56541.1,5.15,0.048087897212075945,0.10987034811123689,0.0,0
Nevada,NV,2000,8.8,4.2,76654.2,5.15,0.030169793945830595,0.04981570196473941,0.0,0
New Hampshire,NH,2000,4.5,2.7,45222.8,5.15,0.029249557619192793,0.0661603281602604,0.0,1
New Jersey,NJ,2000,7.3,3.7,361845.3,5.15,0.040883939629121034,0.08173846268264225,0.0,0
New Mexico,NM,2000,17.5,4.9,55239.7,4.25,0.09298409184253933,0.1711768698070068,0.0,0
New York,NY,2000,13.9,4.5,836201.5,5.15,0.07570701271144072,0.14491663412585556,0.0,0
North Carolina,NC,2000,12.5,3.7,277994.1,5.15,0.06041454095679403,0.11809324226571573,0.0,1
North Dakota,ND,2000,10.4,3.0,18013.5,5.15,0.04956831764594103,0.07031056519782002,0.0,0
Ohio,OH,2000,10.0,4.0,391320.8,4.25,0.05365553683389063,0.0947370903599344,0.0,0
Oklahoma,OK,2000,14.9,3.0,90893.0,5.15,0.0733237512538484,0.12647389607062368,0.0,0
Oregon,OR,2000,10.9,5.1,117291.2,6.5,0.06834022021699807,0.1144353979988967,0.0,1
Pennsylvania,PA,2000,8.6,4.1,408203.4,5.15,0.06326123866865112,0.11773873585140815,0.0,0
Rhode Island,RI,2000,10.2,4.1,34520.9,5.65,0.07070195416788858,0.1488572440558029,0.0,0
South Carolina,SC,2000,11.1,3.8,115176.6,5.15,0.07338932260960687,0.1643803039742082,0.0,1
South Dakota,SD,2000,10.7,2.5,22669.2,5.15,0.056740544345129415,0.10075491768142633,0.0,0
Tennessee,TN,2000,13.5,3.9,182089.1,5.15,0.08696624079832825,0.23601863976819334,0.0,0
Texas,TX,2000,15.5,4.3,738804.4,3.35,0.06363413132966322,0.09195182945173336,0.0,0
Utah,UT,2000,7.6,3.3,70383.8,5.15,0.03649673736089342,0.0585448353354107,0.0,0
Vermont,VT,2000,10.0,2.8,18312.7,5.75,0.06697800917951897,0.19754173925310603,0.0,1
Virginia,VA,2000,8.3,2.3,267618.0,5.15,0.04729646147656209,0.07308730298007957,0.0,0
Washington,WA,2000,10.8,5.2,238137.1,6.5,0.0499213942886843,0.13224522680945408,0.0,1
West Virginia,WV,2000,14.7,5.5,42577.4,5.15,0.12556411906668488,0.1431311534287648,0.0,0
Wisconsin,WI,2000,9.3,3.5,180616.3,5.15,0.03591757274238421,0.09200839077193725,0.0,0
Wyoming,WY,2000,10.8,3.9,17191.8,1.6,0.045411693303661745,0.07464495245802144,0.0,0
Alabama,AL,2001,15.9,5.1,123035.3,5.15,0.09206036125609215,0.15086464110533673,0.0,1
Alaska,AK,2001,8.5,6.4,28455.4,5.65,0.05980142461741417,0.13880236194876552,0.0,1
Arizona,AZ,2001,14.6,4.8,171480.5,5.15,0.05525235058387474,0.11077226657099291,0.0,0
Arkansas,AR,2001,17.8,5.0,70680.3,5.15,0.0952755844077678,0.1643560582277042,0.0,0
California,CA,2001,12.6,5.4,1387551.8,6.25,0.04838683949150245,0.19569794281569045,0.0,1
Colorado,CO,2001,8.7,3.8,187546.2,5.15,0.03478601175365542,0.06778744181411835,0.0,0
Connecticut,CT,2001,7.3,3.1,172834.5,6.4,0.04574382398221878,0.10769903010194198,0.0,0
Delaware,DE,2001,6.7,3.5,46555.9,6.15,0.04007294215526223,0.13337329819441773,0.0,1
District of Columbia,DC,2001,18.2,6.3,65518.4,6.15,0.12792600225585896,0.2184214557252865,0.0,.
Florida,FL,2001,12.7,4.7,516558.8,5.15,0.05424331138182961,0.11741046597516923,0.0,0
Georgia,GA,2001,12.9,4.0,317271.2,5.15,0.06846536926297815,0.11129817006918197,0.0,1
Hawaii,HI,2001,11.4,4.5,42982.8,5.25,0.08835040311660854,0.12319364279724752,0.0,1
Idaho,ID,2001,11.5,5.1,37493.8,6.15,0.045203574042283035,0.10485907927652463,0.0,0
Illinois,IL,2001,10.1,5.3,501155.5,5.15,0.06608468868622154,0.11802205959188675,0.0,0
Indiana,IN,2001,8.5,4.2,204705.6,5.15,0.05655427105500215,0.1089951303575858,0.0,1
Iowa,IA,2001,7.4,3.3,94973.4,5.15,0.043142608945370683,0.08634047033472408,0.0,1
Kansas,KS,2001,10.1,4.2,88594.7,2.65,0.0459946516900171,0.07644323323324065,0.0,0
Kentucky,KY,2001,12.6,5.2,117335.8,5.15,0.10144213609587889,0.1494211593920748,0.0,1
Louisiana,LA,2001,16.2,5.7,137847.7,5.15,0.11576562543617229,0.16435720068112666,0.0,0
Maine,ME,2001,10.3,3.8,38499.2,5.15,0.08118818503965179,0.1774180752466376,0.0,0
Maryland,MD,2001,7.2,4.0,205567.2,5.15,0.03877915958331372,0.10992315651262556,0.0,1
Massachusetts,MA,2001,8.9,3.7,297918.4,6.75,0.03426626155856993,0.15019036725139326,0.0,0
Michigan,MI,2001,9.4,5.2,348642.7,5.15,0.06418389529902553,0.11422863502790478,0.0,0
Minnesota,MN,2001,7.4,3.8,195282.3,5.15,0.039681937610931695,0.1019989580147371,0.0,0
Mississippi,MS,2001,19.3,5.5,67136.5,5.15,0.10438332502627065,0.19642277551232143,0.0,1
Missouri,MO,2001,9.7,4.6,190570.8,5.15,0.08055585198883489,0.15547029307186383,0.0,1
