state,year,fent_gms,hydro_gms,oxy_gms
AK,2006,1564.526023033,73936.970520095,132344.307040532
AK,2007,1575.875488741,80968.42473250101,141050.065458328
AK,2008,1706.778671706,86069.80851688,153192.816393118
AK,2009,1646.58839996,89413.086367968,168255.904702429
AK,2010,1852.650594999,90779.457730392,174587.019593691
AK,2011,1841.80610395,96853.161019119,187115.033635251
AK,2012,1643.829465292,84502.932064054,178392.78052952798
AK,2013,1468.57789395,78908.763480515,168419.655792924
AK,2014,1381.8724153,77973.300261585,168251.993515079
AK,2015,1380.3910843,67942.673549184,175987.42301271
AK,2016,1348.46175525,74120.463854942,193238.762260991
AL,2006,15680.581497624,65062586.00173391,1538784.797981454
AL,2007,15557.296348736,23566872.61106369,2489940.588735335
AL,2008,17289.111181357,19712996.136232022,3571363.566110875
AL,2009,16308.967296843,22651390.762257792,13885873.514337096
AL,2010,18027.397868642,24522315.89150521,13359000.135659931
AL,2011,18360.032193602,37899458.55846181,30074574.19351261
AL,2012,18618.959375755,43790096.13029095,41430522.51853143
AL,2013,19609.422863418,42796570.90847762,42537397.37219112
AL,2014,20160.52117646,60709515.71844169,35630579.023513675
AL,2015,20994.798713532,40449275.4596336,30977560.646554325
AL,2016,27327.33696288,39523563.96144727,27580210.514791023
AR,2006,19604.392800827,1277662.622970368,2001683.922320894
AR,2007,26772.962174218,1522797.78431245,2012201.094693695
AR,2008,27395.80343399,1879203.007601058,2087977.039473052
AR,2009,21851.635054131,1890201.460892453,2553259.981933071
AR,2010,19324.931337345,2011880.478246799,2271911.612096307
AR,2011,21984.40040188,2276553.426313393,2342706.061478905
AR,2012,21996.365151351,2293950.856915395,2825803.555838667
AR,2013,17925.174287424,2218999.778854678,2955416.177132768
AR,2014,19960.248187293,2662134.495039003,3380631.879813773
AR,2015,19643.089306371,3706351.790285526,3254258.6268376485
AR,2016,17304.839330871,3459819.346506346,3122277.424635798
AZ,2006,20187.386748922,1132552.080616395,2201767.228662896
AZ,2007,21052.807770708,1219609.133403139,3042012.877455227
AZ,2008,21765.271858559,1474896.608159262,2823920.885351801
AZ,2009,19547.521496358,1629346.633127515,3263487.004168364
AZ,2010,20619.094968657,1660734.986576462,3669880.79144713
AZ,2011,20447.64643474,1842980.739814402,3978171.338233148
AZ,2012,20307.10802148,1793916.536789373,4259196.683431694
AZ,2013,19954.466891384,1726052.911454054,4465094.319340112
AZ,2014,19708.804130676,1546400.68165788,4183430.403495104
AZ,2015,20383.315923241,1133150.035438149,4097480.9246558314
AZ,2016,20165.883142908,1034989.726848774,3952509.449816503
CA,2006,1141092.91114834,406297532.2001669,11119856.856287384
CA,2007,990747.232322773,270644051.0054034,16000191.76417743
CA,2008,2935296.423610331,177795091.36039206,11072776.104042884
CA,2009,1710606.226425229,99142039.43773223,21945348.390991785
CA,2010,637417.549220228,70591717.22974971,31261424.184189644
CA,2011,580590.814087516,75921092.98041312,33365178.9899094
CA,2012,515154.371371985,75608223.42261961,34114501.22609471
CA,2013,412504.762582857,49995648.43963654,29106980.075905472
CA,2014,324394.65603629,44080418.75037353,10629724.619475748
CA,2015,268284.243122643,10008897.154346569,10008904.298369791
CA,2016,266527.467537882,8192095.020973149,8448542.442926895
CO,2006,354391.97756379,626928.376145981,1456949.024825993
CO,2007,344513.121153006,648615.821583438,2683337.029114323
CO,2008,80291.507030101,707965.57692301,1638548.480605863
CO,2009,36639.571525188,760347.571054078,1736145.702125084
CO,2010,198351.55985733203,762398.159114999,2043456.833970876
CO,2011,556924.538483211,1116928.204241499,2177920.442328462
CO,2012,834083.29264021,1420516.964338276,2278182.789084028
CO,2013,1451386.448862618,793667.952078518,2269665.212795179
CO,2014,41683.526618433,813486.597605846,2255788.5617164248
CO,2015,20944.004006922,755461.514254944,2332119.1515075653
CO,2016,16453.283690243,631510.101385022,2143577.575760043
CT,2006,14542.342251057,334456.547686704,2402709.472007483
CT,2007,12996.319441382,339641.528514959,1540143.157994584
CT,2008,13539.685304324,347472.750386426,1733525.956576663
CT,2009,12366.310932163,406407.635436218,1830623.256131674
CT,2010,12608.138138725,397914.060155302,1682195.2804832049
CT,2011,12130.76816655,444505.234433572,1735893.043223216
CT,2012,11832.557143756,405842.31967483,1852528.573095617
