state,year,hydro_gms,oxy_gms,fent_gms
AK,2000,27018.4,74395.72,613.26
AK,2001,32213.77,110300.16,613.26
AK,2002,35524.0,106095.595,722.8675000000001
AK,2003,38834.23,101891.03,832.475
AK,2004,42144.46000000001,97686.465,942.0825
AK,2005,45454.69,93481.9,1051.69
AK,2006,73936.970520095,132344.307040532,1564.526023033
AK,2007,80968.42473250101,141050.065458328,1575.875488741
AK,2008,86069.80851688,153192.816393118,1706.778671706
AK,2009,89413.086367968,168255.904702429,1646.58839996
AK,2010,90779.457730392,174587.019593691,1852.650594999
AK,2011,96853.161019119,187115.033635251,1841.80610395
AK,2012,84502.932064054,178392.78052952798,1643.829465292
AK,2013,78908.763480515,168419.655792924,1468.57789395
AK,2014,77973.300261585,168251.993515079,1381.8724153
AK,2015,67942.673549184,175987.42301271,1380.3910843
AK,2016,74120.463854942,193238.762260991,1348.46175525
WV,2000,152541.08,197056.02,1502.67
WV,2001,162813.45,198000.93,1502.67
WV,2002,205600.3575,215629.7125,2004.6725000000001
WV,2003,248387.265,233258.495,2506.675
WV,2004,291174.1725,250887.2775,3008.6775
WV,2005,333961.08,268516.06,3510.68
WV,2006,533498.882439461,954844.676148606,45315.703695507
WV,2007,612903.179790056,1135701.43245324,43614.354355322
WV,2008,688073.629973999,1701519.5492715528,53821.900027027
WV,2009,674314.7193192691,1537046.599327889,34272.91805995
WV,2010,716221.566651164,2206129.228924635,26667.967266763
WV,2011,751518.469998957,2195064.542381198,23662.715025516
WV,2012,725160.505608189,2359733.173568202,18392.223807976
WV,2013,641151.258544217,2397733.054993699,18871.846491616
WV,2014,773743.117042984,2315267.8668594942,15245.36848826
WV,2015,1166760.41315597,2216913.008668504,14669.398377549
WV,2016,1051862.999864668,1984761.951144756,14678.90291545
DE,2000,22179.56,79671.76,424.31
DE,2001,21223.48,90588.56,424.31
DE,2002,25068.6525,116306.8725,616.5150000000001
DE,2003,28913.824999999997,142025.185,808.72
DE,2004,32758.997499999998,167743.4975,1000.9250000000002
DE,2005,36604.17,193461.81,1193.13
DE,2006,539908123.32973,25356677.16335094,2379.460797112
DE,2007,14010878.313623922,37409673.18885055,21563.761113786
DE,2008,14223205.584758263,202132407.4456769,17157.772985864
DE,2009,18861827.25404764,26785458.87241287,53828.784765464
DE,2010,18141561.296123527,30984119.09400902,17134.467715679
DE,2011,34679446.605573885,34455466.93828053,7443.267694
DE,2012,39714400.54568978,382944165.03375673,5029.295769126
DE,2013,33435360.456158485,44750174.45855614,58764.91607747
DE,2014,450047199.2485758,76688834.40039481,3062.33480585
DE,2015,34457345.39113249,39387638.55332482,1774.177007843
DE,2016,26836854.728122786,40966100.67197944,1644.96554975
FL,2000,983039.12,1569180.46,13122.52
FL,2001,1104807.15,2057674.13,13122.52
FL,2002,1310178.16,2237840.7874999996,15599.19
FL,2003,1515549.17,2418007.445,18075.86
FL,2004,1720920.18,2598174.1025,20552.53
FL,2005,1926291.19,2778340.76,23029.2
FL,2006,268082526.1789576,96307826.44792303,197675982.5597053
FL,2007,165178392.81161633,14742916.33351657,6839859.030593305
FL,2008,84658192.35596977,19365951.265064582,282615293.51865804
FL,2009,1284559341.656948,27358209.005051333,918553.099088505
FL,2010,615240805.4662235,34351529.320679404,2642349393.5296497
FL,2011,9388582012.988302,8422799132.59044,122379344.35283236
FL,2012,637682282.7554702,14016883.357164117,476846964.9661971
FL,2013,25901408.66057885,2384966775.7273235,3785441.187083179
FL,2014,2380703330.998078,46593023501.51271,290656.95964232
FL,2015,9636660.98493923,64440629952.4471,361092.200336053
FL,2016,6895408.597814295,9950272203.687847,402748886.88378304
CT,2000,99110.22,338763.08,2779.74
CT,2001,91926.12,413680.41,2779.74
CT,2002,103500.06,458769.695,3603.25
CT,2003,115074.0,503858.98,4426.76
CT,2004,126647.94,548948.265,5250.2699999999995
CT,2005,138221.88,594037.55,6073.78
CT,2006,334456.547686704,2402709.472007483,14542.342251057
CT,2007,339641.528514959,1540143.157994584,12996.319441382
CT,2008,347472.750386426,1733525.956576663,13539.685304324
CT,2009,406407.635436218,1830623.256131674,12366.310932163
CT,2010,397914.060155302,1682195.2804832049,12608.138138725
CT,2011,444505.234433572,1735893.043223216,12130.76816655
CT,2012,405842.31967483,1852528.573095617,11832.557143756
CT,2013,369780.271904622,2037088.537206901,11407.954276998
CT,2014,275370.939836027,1983546.2825047509,10926.425343882
CT,2015,291128.70238548,1862717.0686970176,10628.823503681
CT,2016,236815.167139882,1540125.51175607,8903.29837575
ME,2000,42044.97,127801.0,1357.8
ME,2001,46794.74,142149.39,1357.8
ME,2002,57452.135,161020.495,1459.2875
ME,2003,68109.53,179891.6,1560.775
ME,2004,78766.925,198762.70500000002,1662.2625
ME,2005,89424.32,217633.81,1763.75
ME,2006,107594.0157462,277731.214983094,2087.438689658
ME,2007,115568.667150195,314754.450757005,2177.163707889
ME,2008,119929.552733348,335909.259720791,2323.567437652
ME,2009,122642.213687055,355831.778673591,2362.81868562
ME,2010,127446.837693195,388635.533371606,2681.780693574
ME,2011,133314.449352088,398195.652512924,2649.8620821
ME,2012,132918.717986523,387097.574918625,2648.862291593
ME,2013,121617.070276364,360506.500327282,2484.05280875
ME,2014,114490.263965541,343925.593311535,2473.86273389
ME,2015,101373.809196087,331118.658865103,2391.691006703
ME,2016,84142.82333575201,283393.78466508497,2099.547114572
NH,2000,29761.25,122670.29,806.36
NH,2001,30666.28,140763.94,806.36
NH,2002,35037.15,152764.975,1016.485
NH,2003,39408.020000000004,164766.01,1226.61
NH,2004,43778.89,176767.04499999998,1436.735
NH,2005,48149.76,188768.08,1646.86
NH,2006,59213.264324873,256730.912903967,2291.851597792
NH,2007,76089.131854468,368252.792576842,2971.709058297
NH,2008,81451.27098341301,426929.45535219,3338.261363048
NH,2009,88102.840512729,493858.098971257,3495.840184825
NH,2010,82982.667792778,504137.963922268,3593.691492094
NH,2011,84996.846625146,498083.832759075,3417.412436751
