year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate
2000,AL,10664.77749544647,6724.566121742259,62.81644217579997,-0.9193226902900474,-0.3970677919520904,-0.9234769168920444,120132.9,4.6,5.15,0.1268877018031419,-0.2932857067461231,-0.5425384600413543,-0.9804848813290687,-0.6178460574876989,-0.38596022307161443,0.20560768288529196,1,4.4857,-1.788058290652245
2001,AL,11269.214756625095,7735.814079667223,62.52772720415326,-0.8371366079060333,-0.3640556380138137,-0.9257301812496743,123035.3,5.1,5.15,0.1508646411053367,-0.27061956950203503,-0.2360844817254901,-0.9804848813290687,-0.16604678110182938,-0.31708557351619815,0.9839444063804876,1,4.8915,-1.6285206593816213
2002,AL,12882.256133750916,8232.095444978884,83.42897875466313,-0.8006581488343898,-0.2839463587431587,-0.7843875955047894,128117.4,5.9,5.15,0.1645259725867053,-0.23218950108243105,0.20549845984455764,-0.9804848813290687,0.08718373948264736,-0.1629238390161412,0.5648400168061514,1,4.7619,-1.6782453938260864
2003,AL,14451.140459701153,8704.414974960535,103.96101602068262,-0.7679282700302253,-0.21512661398462657,-0.6762177202815081,133969.3,6.0,5.15,0.166062061631743,-0.1897831639389755,0.2570580222114647,-0.9804848813290687,0.11547114976989249,-0.03375057424494217,0.7145201559398429,0,4.4333,-1.8095145482208284
2004,AL,15990.254107010152,9164.085680251454,124.17554658422519,-0.7377373027253677,-0.15452028148412666,-0.5886951898740517,146886.7,5.7,5.15,0.1726545551499549,-0.10238450056738803,0.10009886840746175,-0.9804848813290687,0.23645168668183958,0.07733721316785995,1.2833046846478702,0,6.3542,-1.1327768658016615
2005,AL,17465.61067704202,9593.346543233245,143.77506261208083,-0.7108808572326322,-0.1016696152710157,-0.5164103782779652,156403.3,4.5,5.15,0.1769276807216062,-0.04278077216732952,-0.6071046710321762,-0.9804848813290687,0.3145061480846816,0.35287051182916945,1.2234326289943938,0,6.333,-1.1392304261073256
2006,AL,1405548.7806438156,33242.40903087427,338.7480203013147,0.01824298152470172,2.5261525487919108,-0.09252162080735205,164347.8,4.0,5.15,0.1671445616216614,0.004262174291811146,-0.9486322842909195,-0.9804848813290687,0.13538324583008388,0.2610444404863023,0.504967961152675,0,8.7498,-0.5024248783089607
2007,AL,504337.2469646658,53285.380811997304,332.9302169288056,0.29507822547646045,1.9123382653855514,-0.1011046083148986,170263.9,4.0,5.15,0.1539528423827907,0.037839571119270714,-0.9486322842909195,-0.9804848813290687,-0.10854099221079534,0.23297064021885283,0.5648400168061514,0,11.0885,-0.02177761930131951
2008,AL,417807.0253022446,75693.25218336958,366.4340043939794,0.5010343783392639,1.7996139692987656,-0.05359273774467354,172677.2,5.7,5.85,0.1578051064324024,0.05120264558933767,0.10009886840746175,-0.3920340144936973,-0.037022831418839046,0.3286606040879148,0.504967961152675,0,12.9811,0.30337811189310687
2009,AL,476075.7866592165,291846.45773730334,342.7738507068188,1.2928486903090477,1.8778020346138276,-0.08666793720413275,169128.5,11.0,6.55,0.16826385715829,0.03148690816593114,2.1884591467080923,0.13911116266985502,0.155952768368976,0.8080402505939683,1.193496601167656,0,13.6077,0.40138717559520176
