state,year,sex,age_group,age_group_detail,race,death_rate,death_rate_log,us_crude_rate,us_age_adjusted_rate,deaths,population,hydro_gms,oxy_gms,fent_gms,state_name,state_abbr,poverty_rate,unempl_rate,gsp,min_wage,snap_rate,medicaid_rate,gov_dem
AL,2000,Both Sexes,All Ages,All Ages,All Races,4.4857,0.739232053376588,6.1882,6.1749,197,4447100,10664.77749544647,6724.566121742259,62.81644217579997,Alabama,AL,13.3,4.6,120132.9,5.15,0.0889581334777422,0.1268877018031419,1
AL,2001,Both Sexes,All Ages,All Ages,All Races,4.8915,0.7702258820173142,6.8057,6.7922,216,4467634,11269.214756625095,7735.814079667223,62.52772720415326,Alabama,AL,15.9,5.1,123035.3,5.15,0.0920603612560921,0.1508646411053367,1
AL,2002,Both Sexes,All Ages,All Ages,All Races,4.7619,0.7605657166613231,8.1766,8.1957,211,4480089,12882.256133750916,8232.095444978884,83.42897875466313,Alabama,AL,14.5,5.9,128117.4,5.15,0.0990040599639873,0.1645259725867053,1
AL,2003,Both Sexes,All Ages,All Ages,All Races,4.4333,0.7350636852927979,8.8881,8.8765,197,4503491,14451.140459701153,8704.414974960535,103.96101602068262,Alabama,AL,15.0,6.0,133969.3,5.15,0.104822236793634,0.166062061631743,0
AL,2004,Both Sexes,All Ages,All Ages,All Races,6.3542,0.8665354364813466,9.366,9.3831,283,4530729,15990.254107010152,9164.085680251454,124.17554658422519,Alabama,AL,16.9,5.7,146886.7,5.15,0.1098258139032372,0.1726545551499549,0
AL,2005,Both Sexes,All Ages,All Ages,All Races,6.333,0.8652816849956105,10.0884,10.0699,283,4569805,17465.61067704202,9593.346543233245,143.77506261208083,Alabama,AL,16.7,4.5,156403.3,5.15,0.1222362879816534,0.1769276807216062,0
AL,2006,Both Sexes,All Ages,All Ages,All Races,8.7498,0.9889957070024082,11.5373,11.4883,398,4628981,1405548.7806438156,33242.40903087427,338.7480203013147,Alabama,AL,14.3,4.0,164347.8,5.15,0.1181002903230754,0.1671445616216614,0
AL,2007,Both Sexes,All Ages,All Ages,All Races,11.0885,1.0823724148278342,11.9543,11.8775,511,4672840,504337.2469646658,53285.380811997304,332.9302169288056,Alabama,AL,14.5,4.0,170263.9,5.15,0.1168358000701928,0.1539528423827907,0
AL,2008,Both Sexes,All Ages,All Ages,All Races,12.9811,1.1455413420202851,11.9864,11.8947,607,4718206,417807.0253022446,75693.25218336958,366.4340043939794,Alabama,AL,14.3,5.7,172677.2,5.85,0.1211458338190405,0.1578051064324024,0
AL,2009,Both Sexes,All Ages,All Ages,All Races,13.6077,1.16458184112653,12.0624,11.9388,630,4757938,476075.7866592165,291846.45773730334,342.7738507068188,Alabama,AL,16.6,11.0,169128.5,6.55,0.1427378835117229,0.16826385715829,0
AL,2010,Both Sexes,All Ages,All Ages,All Races,11.7688,1.1061500845879044,12.4144,12.2966,547,4779736,513047.4965877867,279492.4266875813,377.1630455874969,Alabama,AL,17.3,10.5,175470.1,7.25,0.1682385537621747,0.1791052729353661,0
AL,2011,Both Sexes,All Ages,All Ages,All Races,11.7632,1.1059595747071542,13.2674,13.1852,552,4802740,789121.5963900151,626196.1753813992,382.2824511341859,Alabama,AL,15.4,9.6,181929.9,7.25,0.1917799056441989,0.1911116510306478,0
AL,2012,Both Sexes,All Ages,All Ages,All Races,12.0706,1.116295524130523,13.2208,13.1422,562,4822023,908127.0688731876,859193.7972616769,386.1234045493976,Alabama,AL,16.2,8.0,186553.9,7.25,0.1890202885504324,0.1947531640995866,0
AL,2013,Both Sexes,All Ages,All Ages,All Races,12.7176,1.1372781348451455,13.9127,13.8005,598,4833722,885375.0982881851,880013.3183536646,405.67957494075995,Alabama,AL,16.7,7.2,192166.5,7.25,0.1895045687018499,0.1977927492313275,0
AL,2014,Both Sexes,All Ages,All Ages,All Races,15.1532,1.2082585703003614,14.7574,14.6831,723,4849377,1251903.4036421934,734745.4945968044,415.7342515638607,Alabama,AL,17.8,6.8,195037.7,7.25,0.1863094688565138,0.2137542264765637,0
AL,2015,Both Sexes,All Ages,All Ages,All Races,15.6639,1.2217766507479888,16.304,16.2923,736,4858979,832464.5045725369,637532.3014681546,432.0825159674903,Alabama,AL,16.3,6.1,200197.5,7.25,0.1832886230106791,0.2164791594665427,0
AL,2016,Both Sexes,All Ages,All Ages,All Races,16.2075,1.235717778225771,19.6925,19.7851,756,4863300,812690.2301204382,567108.9695225675,561.9093406304361,Alabama,AL,16.2,5.8,204454.7,7.25,0.1748739854323767,0.2136292092669411,0
AK,2000,Both Sexes,All Ages,All Ages,All Races,7.1077,0.9088976706135962,6.1882,6.1749,48,626932,4309.6220961763,11866.633063872956,97.81922122335436,Alaska,AK,7.6,6.4,26815.8,5.65,0.0597551129604769,0.1324297769136079,1
AK,2001,Both Sexes,All Ages,All Ages,All Races,9.3983,1.0169623430518873,6.8057,6.7922,62,633714,5083.329388336064,17405.353203495582,96.77236103352615,Alaska,AK,8.5,6.4,28455.4,5.65,0.0598014246174141,0.1388023619487655,1
AK,2002,Both Sexes,All Ages,All Ages,All Races,12.1995,1.1205574803457217,8.1766,8.1957,84,642337,5530.430288150924,16517.12341029709,112.53711058213992,Alaska,AK,8.8,7.3,29633.4,7.15,0.0718703733398512,0.1437640989075828,1
AK,2003,Both Sexes,All Ages,All Ages,All Races,12.7245,1.1374965315413377,8.8881,8.8765,83,648414,5989.110352336625,15713.884956216245,128.3863395916806,Alaska,AK,9.6,7.8,31789.7,7.15,0.0781707365972974,0.1497114497836258,0
AK,2004,Both Sexes,All Ages,All Ages,All Races,12.7164,1.1372401415974518,9.366,9.3831,86,659286,6392.43969991779,14817.00885503408,142.89435844231485,Alaska,AK,9.2,7.5,34987.9,7.15,0.0748127519771389,0.1488807588815779,0
AK,2005,Both Sexes,All Ages,All Ages,All Races,11.3744,1.0925241503929717,10.0884,10.0699,79,666946,6815.347869242788,14016.41212332033,157.68742896726272,Alaska,AK,10.0,6.9,39788.7,7.15,0.0833155907674684,0.1491050249945273,0
AK,2006,Both Sexes,All Ages,All Ages,All Races,11.0604,1.0813617120256858,11.5373,11.4883,76,675302,10948.726720799732,19597.795806991835,231.67797859816793,Alaska,AK,8.9,6.6,44457.1,7.15,0.0846332455701301,0.1490918137366689,0
AK,2007,Both Sexes,All Ages,All Ages,All Races,10.0941,1.0450920762041165,11.9543,11.8775,72,680300,11901.87045898883,20733.50954848273,231.64419943275024,Alaska,AK,7.6,6.3,49002.6,7.15,0.0825826841099515,0.1414331912391592,0
AK,2008,Both Sexes,All Ages,All Ages,All Races,18.1345,1.2818171182418328,11.9864,11.8947,127,687455,12520.064370304965,22284.050067730688,248.2749666095963,Alaska,AK,8.2,6.7,54759.0,7.15,0.0828810613058309,0.1406928453498774,0
AK,2009,Both Sexes,All Ages,All Ages,All Races,17.8528,1.2753758603372205,12.0624,11.9388,131,698895,12793.493495871056,24074.561229144434,235.59882385193774,Alaska,AK,11.7,7.7,49651.6,7.15,0.0921239957361263,0.1458759899555727,0
AK,2010,Both Sexes,All Ages,All Ages,All Races,11.5962,1.100239547662094,12.4144,12.2966,83,710231,12781.68057017956,24581.72335390753,260.85183482543005,Alaska,AK,12.4,7.9,52947.7,7.75,0.1070793237242789,0.1585886176128643,0
AK,2011,Both Sexes,All Ages,All Ages,All Races,14.2364,1.1828823656371392,13.2674,13.1852,107,722718,13401.238244947406,25890.462619618025,254.8443658453228,Alaska,AK,11.7,7.6,56333.9,7.75,0.1191533910885604,0.1663749362993818,0
AK,2012,Both Sexes,All Ages,All Ages,All Races,17.4251,1.2654098536182172,13.2208,13.1422,129,731449,11552.812576687369,24388.95678707989,224.7360329007217,Alaska,AK,10.0,7.1,57717.5,7.75,0.1249894470889583,0.1670287756881782,0
AK,2013,Both Sexes,All Ages,All Ages,All Races,14.3519,1.186162132806777,13.9127,13.8005,105,735132,10733.95845651053,22910.124412068035,199.7706390076884,Alaska,AK,10.9,7.0,56625.3,7.75,0.1239557724660411,0.1486972708081208,0
AK,2014,Both Sexes,All Ages,All Ages,All Races,16.7585,1.249406279616309,14.7574,14.6831,124,736732,10583.672252811743,22837.61171159648,187.56785578745053,Alaska,AK,11.9,6.9,55750.6,7.75,0.11882115979861,0.1596777326109661,0
AK,2015,Both Sexes,All Ages,All Ages,All Races,15.9606,1.229441211840506,16.304,16.2923,122,738432,9200.938413988559,23832.583502977934,186.93543674976166,Alaska,AK,9.2,6.5,50728.1,8.75,0.1099952135463418,0.1763001391190213,0
AK,2016,Both Sexes,All Ages,All Ages,All Races,16.8331,1.2512268449066843,19.6925,19.7851,128,741894,9990.708086996527,26046.680827852902,181.75935581767746,Alaska,AK,12.6,6.9,49755.6,9.75,0.1110328866446559,0.2081296799810103,0
AZ,2000,Both Sexes,All Ages,All Ages,All Races,10.5896,1.0640684471119524,6.1882,6.1749,522,5130632,4085.5426777831663,7555.403895660417,46.8599190119268,Arizona,AZ,11.7,4.0,164609.9,5.15,0.0501892614520909,0.0937864420823526,0
AZ,2001,Both Sexes,All Ages,All Ages,All Races,10.9008,1.0755761566788786,6.8057,6.7922,552,5273477,4780.1408823817765,10116.465663925337,45.5906036946781,Arizona,AZ,14.6,4.8,171480.5,5.15,0.0552523505838747,0.1107722665709929,0
AZ,2002,Both Sexes,All Ages,All Ages,All Races,12.005,1.1141103565318915,8.1766,8.1957,624,5396255,5356.909745740333,11794.104707801986,75.26214939805476,Arizona,AZ,13.5,6.1,179475.6,5.15,0.0701823764814672,0.1489840639480528,0
AZ,2003,Both Sexes,All Ages,All Ages,All Races,12.7405,1.1380025364564317,8.8881,8.8765,674,5510364,5917.311270181063,13418.177819105962,103.77653817424766,Arizona,AZ,13.5,5.7,192764.8,5.15,0.0845956818823584,0.1757063598702372,1
AZ,2004,Both Sexes,All Ages,All Ages,All Races,13.6816,1.166773387549136,9.366,9.3831,744,5652404,6423.077154428453,14902.348009802554,130.48594014157516,Arizona,AZ,14.4,5.0,205390.5,5.15,0.0936868631470786,0.1798956691701442,1
AZ,2005,Both Sexes,All Ages,All Ages,All Races,14.135,1.1799824252925917,10.0884,10.0699,794,5839077,6851.273754396457,16189.055050995219,154.694312131866,Arizona,AZ,15.2,4.7,228232.6,5.15,0.0942428058407176,0.1877956053670811,1
AZ,2006,Both Sexes,All Ages,All Ages,All Races,14.9163,1.2018421163952282,11.5373,11.4883,876,6029141,18784.63417286799,36518.75497127859,334.8302311875274,Arizona,AZ,14.4,4.2,248154.2,5.15,0.0896947011191146,0.1762620910673676,1
