state_name,state,state_fips,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Phase-In Rate 3 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Maximum Credit 3 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,EITC Phase-Out Rate 3 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation,Fraction of the Year ACA Expansion
AL,1,1,1980,3893888,1521183,148106,8.9,,,,36142.0,,,31037100.0,15220,179602.0,62733.0,582862.8,193482.8,89.0,118.0,148.0,63,115,165,209,204.0,283.0,357.0,,238,0.0,238.0,279.0,810,21.2,1,101.0,4.0,0.96,35.0,0.0,1.0,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
AK,2,2,1980,401851,169397,18008,9.6,,,,15282.0,,,6285000.0,4897,15135.0,6158.0,28693.25,9837.167,400.0,457.0,514.0,98,180,258,327,564.0,681.0,790.0,,238,235.0,473.0,533.0,36,9.6,0,25.0,14.0,0.64,9.0,11.0,0.45,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.6,,,,,,,,,,,,,0.0
AZ,3,4,1980,2718215,1146371,81630,6.6,,,,30764.0,,,26477600.0,60845,51245.0,18312.0,195560.4,65209.75,156.0,202.0,244.0,63,115,165,209,271.0,356.0,429.0,,238,0.0,238.0,279.0,354,12.8,1,18.0,42.0,0.3,14.0,16.0,0.4666666666666667,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
AR,4,5,1980,2286435,922894,75386,7.6,,,,20276.0,,,17388300.0,12021,84958.0,29457.0,300828.9,102997.8,133.0,161.0,188.0,63,115,165,209,248.0,326.0,390.0,,238,0.0,238.0,279.0,484,21.5,1,94.0,6.0,0.94,35.0,0.0,1.0,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,2.55,,,,,,,,,,,,,0.0
CA,5,6,1980,23667902,10787673,791379,6.8,,,,327958.0,,,284308000.0,367598,1386871.0,476146.0,1492669.0,542672.2,382.0,473.0,563.0,63,115,165,209,432.0,546.0,653.0,,238,182.0,420.0,407.0,2619,11.0,1,50.0,30.0,0.63,25.0,14.0,0.6410256410256411,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
CO,6,8,1980,2889964,1405381,86267,5.8,,,,38332.0,,,32050800.0,66252,76821.0,27711.0,163414.8,61720.08,229.0,290.0,351.0,63,115,165,209,325.0,418.0,504.0,,238,55.0,293.0,318.0,247,8.6,1,27.0,38.0,0.42,13.0,22.0,0.37142857142857144,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,1.9,,,,,,,,,,,,,0.0
CT,7,9,1980,3107576,1496088,92202,5.8,,,,40770.0,,,38493900.0,17522,139078.0,47906.0,170002.1,64692.58,383.0,475.0,553.0,63,115,165,209,433.0,547.0,646.0,,238,102.0,340.0,351.0,255,8.3,1,103.0,48.0,0.6821192052980133,26.0,10.0,0.7222222222222222,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.12,,,,,,,,,,,,,0.0
DE,8,10,1980,594338,262384,21571,7.6,,,,7898.0,,,6430500.0,2031,32264.0,11635.0,102564.4,41716.42,197.0,266.0,312.0,63,115,165,209,302.0,401.0,477.0,,238,0.0,238.0,279.0,68,11.8,0,21.0,20.0,0.5121951219512195,13.0,8.0,0.6190476190476191,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,2.0,,,,,,,,,,,,,0.0
DC,9,11,1980,638333,298261,23736,7.4,,,,19862.0,,,8447400.0,8694,85202.0,30662.0,51611.58,19673.25,225.0,286.0,349.0,63,115,165,209,322.0,415.0,503.0,,238,15.0,253.0,290.0,131,20.9,.,,,,,,,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
FL,10,12,1980,9746324,4014765,259581,6.1,,,,97899.0,,,99826800.0,65505,256179.0,93522.0,911952.6,340307.0,150.0,195.0,230.0,63,115,165,209,265.0,351.0,420.0,,238,0.0,238.0,279.0,1692,16.7,1,89.0,31.0,0.7416666666666667,29.0,11.0,0.725,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
GA,11,13,1980,5463105,2373390,160196,6.3,,,,56229.0,,,47192800.0,14159,221419.0,84616.0,627134.4,210034.8,137.0,164.0,193.0,63,115,165,209,252.0,329.0,394.0,,238,0.0,238.0,279.0,727,13.9,1,159.0,21.0,0.8833333333333333,51.0,5.0,0.9107142857142857,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,1.25,,,,,,,,,,,,,0.0
HI,12,15,1980,964691,416797,22051,5.0,,,,13380.0,,,11483900.0,9213,60091.0,19441.0,102220.5,39553.33,390.0,468.0,546.0,84,158,226,287,517.0,639.0,755.0,,238,15.0,253.0,337.0,81,8.5,1,42.0,9.0,0.8235294117647058,18.0,7.0,0.72,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
ID,13,16,1980,943935,396448,32291,7.5,,,,9916.0,,,8394900.0,10440,20953.0,7781.0,60759.33,22184.0,260.0,323.0,367.0,63,115,165,209,347.0,441.0,515.0,,238,74.0,312.0,331.0,138,14.7,1,20.0,50.0,0.2857142857142857,16.0,19.0,0.45714285714285713,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
IL,14,17,1980,11426518,5101693,452846,8.2,,,,145264.0,,,125211000.0,28506,671780.0,213781.0,903183.7,337725.2,238.0,288.0,350.0,63,115,165,209,331.0,416.0,504.0,,238,0.0,238.0,279.0,1386,12.3,0,89.0,88.0,0.5028248587570622,32.0,27.0,0.5423728813559322,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,2.3,,,,,,,,,,,,,0.0
IN,15,18,1980,5490224,2372211,253333,9.6,,,,58870.0,,,51418700.0,14018,156876.0,54955.0,352962.6,118792.0,195.0,255.0,315.0,63,115,165,209,301.0,393.0,479.0,,238,0.0,238.0,279.0,645,11.8,0,46.0,54.0,0.46,21.0,29.0,0.42,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
IA,16,19,1980,2913808,1348855,86301,6.0,,,,34582.0,,,27993700.0,3579,103694.0,37833.0,140916.3,54543.92,292.0,360.0,419.0,63,115,165,209,369.0,467.0,552.0,,238,0.0,238.0,279.0,311,10.8,0,44.0,56.0,0.44,22.0,28.0,0.44,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
KS,17,20,1980,2363679,1134614,52811,4.4,,,,28298.0,,,23869200.0,6962,67762.0,25790.0,90246.25,35844.42,290.0,345.0,390.0,63,115,165,209,368.0,456.0,532.0,,238,0.0,238.0,279.0,215,9.4,1,56.0,69.0,0.448,18.0,22.0,0.45,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
KY,18,21,1980,3660777,1526920,131904,8.0,,,,37017.0,,,29871600.0,50412,167478.0,62922.0,467997.0,151549.3,162.0,188.0,235.0,63,115,165,209,277.0,346.0,423.0,,238,0.0,238.0,279.0,701,19.3,1,75.0,25.0,0.75,29.0,9.0,0.7631578947368421,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,2.15,,,,,,,,,,,,,0.0
LA,19,22,1980,4205900,1664309,122392,6.9,,,,63925.0,,,37368800.0,9038,212602.0,68644.0,569479.8,192050.9,110.0,152.0,187.0,63,115,165,209,225.0,317.0,389.0,,238,0.0,238.0,279.0,868,20.3,0,96.0,9.0,0.9142857142857143,39.0,0.0,1.0,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
ME,20,23,1980,1124660,467389,38574,7.6,,,,10263.0,,,9653500.0,1074,60396.0,21364.0,139085.8,52945.75,207.0,280.0,352.0,63,115,165,209,309.0,411.0,505.0,,238,10.0,248.0,286.0,158,14.6,1,77.0,73.0,0.5133333333333333,13.0,19.0,0.40625,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
MD,21,24,1980,4216975,2007042,141183,6.6,,,,47522.0,,,48503300.0,28816,212252.0,77105.0,323607.4,132586.4,211.0,270.0,326.0,63,115,165,209,312.0,404.0,487.0,,238,0.0,238.0,279.0,389,9.5,1,124.0,16.0,0.8857142857142857,40.0,7.0,0.851063829787234,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
MA,22,25,1980,5737037,2706635,161636,5.6,,,,69684.0,,,61388700.0,33163,350304.0,124396.0,453090.8,168950.4,314.0,379.0,444.0,63,115,165,209,384.0,480.0,569.0,,238,137.0,375.0,375.0,542,9.5,1,129.0,30.0,0.8113207547169812,34.0,6.0,0.85,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
MI,23,26,1980,9262078,3773197,530409,12.3,,,,104134.0,,,94684400.0,102549,684632.0,225095.0,813102.6,320167.9,350.0,425.0,501.0,63,115,165,209,410.0,512.0,609.0,,238,24.0,262.0,296.0,1194,12.9,0,70.0,40.0,0.6363636363636364,24.0,14.0,0.631578947368421,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
MN,24,27,1980,4075970,1983321,121479,5.8,,,,50219.0,,,42002100.0,29374,135121.0,49903.0,170621.7,68338.25,344.0,417.0,486.0,63,115,165,209,405.0,506.0,599.0,,238,34.0,272.0,303.0,342,8.7,0,67.0,67.0,0.5,47.0,20.0,0.7014925373134329,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,2.9,,,,,,,,,,,,,0.0
MS,25,28,1980,2520638,978337,78483,7.4,,,,21353.0,,,18097500.0,7071,173052.0,57691.0,496183.8,151713.9,60.0,96.0,120.0,63,115,165,209,175.0,261.0,329.0,,238,0.0,238.0,279.0,591,24.3,1,116.0,4.0,0.9666666666666667,48.0,4.0,0.9230769230769231,0.0,0.1,0.1,0.1,0,500,500,500,0.0,0.125,0.125,0.125,0.0,,,0.0,3.1,3.1,,,,,,,,,,,,,0.0
